ID;Y3;X1;X2;Y1;X3;Y2
45;333784;17192368;28243749;8070493;42003065;5057093
46;255543;1132651;5355972;1729700;13045636;4995457
47;1131669;36881970;46598949;12955927;61038792;4972129
48;917429;35115621;49156968;13519595;74712534;4964076
49;1674092;18210568;25763001;2682409;29982471;4659838
50;1373677;44967946;108054908;28474459;132489103;4291213
51;413343;22659799;35909553;12790206;45440922;4080710
52;1411756;33803456;185193601;38118356;174514016;4073486
53;2497318;18624920;27253773;4536293;34320865;4069752
54;2157582;20487494;37830970;13197743;36923541;3960337
55;2196504;22399533;15391055;8583065;32397108;3927810
56;1218504;17089355;9424401;6166312;18033735;3909339
57;160725;21059605;98162222;8192492;171239775;3847721
58;10312;661851;2780333;482828;7115170;3705139
59;172553;546555;1012746;183569;8399751;3662238
60;428263;1449158;18903473;1611228;27030116;3616562
61;2836584;35603555;34372500;14116818;37987728;3492670
62;44822;12593134;10071063;4559731;23561102;3373633
63;439653;62845115;37263916;19689118;85862416;3136586
64;192788;13185556;27427392;6555168;33434526;3102943
65;224144;13042227;17675793;6141230;27151213;3100418
66;1669224;24613871;30082012;7637127;43709360;3030292
67;429254;15272037;25662466;1566880;33920669;2891318
68;304016;5533213;20574175;2466914;27016257;2672653
69;1769330;15479557;10829700;2809935;19087574;2671310
70;2470002;10561813;8239538;2863755;9025183;2532472
71;991432;15089482;5412470;3824788;14504902;2529584
72;580688;12111550;16952824;1224331;21339567;2431640
73;323257;5313777;7256187;1931066;11153033;2421922
74;150140;2750731;57183191;2330515;63933722;2408690
75;738635;10463839;20430662;2004910;25414873;2375451
76;2996332;25867186;36297623;5428412;40953401;2344989
77;369041;7158213;9693475;2370185;15543811;2338388
